dong_code,avg_home_pop,avg_work_pop,avg_living_pop,avg_inflow_pop,avg_total_demand_pop
47190250,7621.8517378340775,409.4489950091034,8031.300732843181,14.138298024244046,2815.1967459023867
47190253,14671.624428410936,774.4095981638217,15446.034026574758,24.342840790544923,5413.414761538328
47190256,10636.288884464719,1978.8944205945054,12615.183305059225,25.818657616460882,4423.059754055667
47190310,1150.6888835220498,37.104703649964975,1187.7935871720147,5.60245055431544,417.40849067649975
47190320,1064.2251022075752,69.85351767248699,1134.0786198800622,9.571585901223225,399.79899272838867
47190330,1345.7794719462483,85.22800537148989,1431.0074773177382,6.490991061841587,502.7999143797608
47190340,2433.577670500163,135.19640168381852,2568.7740721839814,9.570051083103023,901.9419405893244
47190360,1885.5080863942594,211.84602492308338,2097.354111317343,9.579183676714003,736.947694064084
47190510,15346.01754452257,2045.895059510129,17391.9126040327,22.93009403116039,6094.048439620793
47190535,10094.108371483384,1856.3257957294948,11950.43416721288,25.1077662115873,4190.1842883879835
47190551,21176.504160744695,902.0192339993044,22078.523394744,22.023567578655094,7734.0902584339965
47190555,2435.0982974333174,239.31890800200506,2674.4172054353226,14.210314808442815,940.3091163448956
47190565,32735.16887233042,2189.0707273886173,34924.23959971904,26.859018508625724,12231.54156545425
47190582,10842.258996735487,979.2764833887671,11821.535480124256,20.33581359845482,4143.638162123025
47190583,11670.406516537887,788.2809051721521,12458.68742171004,17.18509709814436,4365.696126727957
47190590,4887.276519623266,905.3291457073136,5792.605665330579,16.53673715423881,2032.3730040119742
47190600,993.8908855482932,89.03443281011835,1082.9253183584117,7.242610454834213,381.19664456189435
47190610,6917.299984865996,2769.2505243200817,9686.550509186078,16.606473821848954,3395.274620361681
47190630,3348.0384580202826,552.4760356967298,3900.514493717012,16.90272416667693,1370.2508900509572
47190645,22447.486014438397,1604.1845587222215,24051.67057316062,19.566057643169106,8423.954517899167
47190660,11346.826094989206,1023.5414152434677,12370.367510232674,21.193990375221468,4335.986825694002
47190670,38025.34419625195,2841.4423694655084,40866.786565717455,22.43838214730192,14310.106812645297
47190680,20366.885577271398,8317.457238875526,28684.342816146924,27.629095692471523,10047.808714359164
47190690,35912.42376149889,4081.2298336596323,39993.653595158525,22.81043938983431,14004.621890122433
47190700,5042.29129871598,6887.786788630964,11930.078087346943,26.19826178982515,4183.386809108378
